News_Headline,Link_Of_News,Source,Stated_On,Date,Label
"Says Mark Pocan’s proposal to eliminate the U.S. Immigration and Customs Enforcement (ICE) would ""eliminate border enforcement.""",https://www.politifact.com/factchecks/2018/jul/13/leah-vukmir/gop-us-senate-hopeful-leah-vukmirs-pants-fire-clai/,Leah Vukmir," July 5, 2018 "," July 13, 2018",pants-fire
"Says Hillary Clinton has spoken ""such lies about my foreign policy. They said I want Japan to … get nuclear weapons. Give me a break.""",https://www.politifact.com/factchecks/2016/jun/02/donald-trump/donald-trump-wrong-accusing-hillary-clinton-lying-/,Donald Trump," June 1, 2016 "," June 2, 2016",barely-true
On the need for independent investigations of police shootings,https://www.politifact.com/factchecks/2019/may/23/kamala-harris/did-kamala-harris-flip-flop-independent-probes-pol/,Kamala Harris," May 20, 2019 "," May 23, 2019",full-flop
"""The nation as a whole has created jobs at a rate that is two times the rate that we have created jobs here in Wisconsin under Gov. Walker.""",https://www.politifact.com/factchecks/2014/oct/30/mary-burke/mary-burke-says-us-added-jobs-twice-wisconsins-rat/,Mary Burke," October 28, 2"," October 30, 2014",half-true
"""Right now, women are able to access an abortion in the later stages of their pregnancy under certain conditions with approval of their medical doctors. I’ve done nothing to change that.""",https://www.politifact.com/factchecks/2019/feb/06/kathy-tran/del-kathy-tran-wrong-saying-bill-wouldnt-change-la/,Kathy Tran," January 29, 2"," February 6, 2019",FALSE
"""I did not oppose busing in America. What I opposed is busing ordered by the Department of Education.""",https://www.politifact.com/factchecks/2019/jun/28/joe-biden/joe-biden-oversimplifies-his-record-school-busing-/,Joe Biden," June 27, 2019"," June 28, 2019",barely-true
"Quotes Mark Cuban as saying, ""I worry that millions of millennials are voting Democrat this year because they fact-check everything.""",https://www.politifact.com/factchecks/2016/feb/12/viral-image/facebook-post-incorrectly-quotes-mark-cuban-millen/,Viral image," February 10, "," February 12, 2016",pants-fire
"""I was filibustered.""",https://www.politifact.com/factchecks/2013/jul/29/rob-portman/sen-rob-portman-ohio-says-he-was-once-filibustered/,Rob Portman," July 11, 2013"," July 29, 2013",mostly-true
"""We have 5 percent of world population. 80 percent of opioids.""",https://www.politifact.com/factchecks/2017/may/10/claire-mccaskill/mccaskill-cites-long-disproven-figure-opioid-use/,Claire McCaskill," March 28, 201"," May 10, 2017",FALSE
"Says Donald Trump ""won more counties than any candidate on our side since Ronald Reagan.""",https://www.politifact.com/factchecks/2016/dec/04/mike-pence/mike-pence-says-donald-trump-won-most-counties-rep/,Mike Pence," December 4, 2"," December 4, 2016",mostly-true
"Says President Barack Obama’s recent New York fundraising trip ""cost between $25 million and $50 million.""",https://www.politifact.com/factchecks/2014/oct/14/donald-trump/trump-obama-fundraising-trip-cost-25-50-million/,Donald Trump," October 13, 2"," October 14, 2014",pants-fire
"""The Clinton camp was the first to get it out there and try to say there was something untoward about the speech that Melania Trump gave.""",https://www.politifact.com/factchecks/2016/jul/19/paul-manafort/trump-campaign-chair-pins-melania-plagiarism-story/,Paul Manafort," July 19, 2016"," July 19, 2016",FALSE
"Says Bill Nelson voted for ""cuts to Medicare providers"" and voted to weaken ""Social Security protections"" as a U.S. senator.",https://www.politifact.com/factchecks/2018/jun/15/new-republican-pac/republican-pac-misleads-ad-about-sen-bill-nelsons-/,New Republican PAC," June 11, 2018"," June 15, 2018",barely-true
"""There are more words in the IRS code than there are in the Bible.""",https://www.politifact.com/factchecks/2015/nov/11/ted-cruz/ted-cruz-says-us-tax-code-has-more-words-bible/,Ted Cruz," November 10, "," November 10, 2015",TRUE
“The owner of Taco Bell said them animals need to be shot (black ppl)!”,https://www.politifact.com/factchecks/2020/jun/16/facebook-posts/ex-employee-taco-bell-not-owner-made-threatening-c/,Facebook posts," June 1, 2020 "," June 16, 2020",FALSE
Says there’s no language in the U.S. Constitution that prevents someone from running for Congress simultaneously in multiple states.,https://www.politifact.com/factchecks/2013/nov/20/allan-levene/candidate-planning-run-congress-four-states/,Allan Levene," November 2, 2"," November 20, 2013",TRUE
"""Adjusting for inflation, West Virginia’s median household income has not grown in a decade.""",https://www.politifact.com/factchecks/2018/dec/12/mike-romano/have-median-incomes-west-virginia-not-risen-decade/,Mike Romano," December 8, 2"," December 12, 2018",TRUE
"""Unlike virtually every other campaign, we don't have a super PAC.""",https://www.politifact.com/factchecks/2015/sep/30/bernie-sanders/bernie-sanders-only-presidential-candidates-withou/,Bernie Sanders," September 28,"," September 30, 2015",mostly-true
"The status quo led the General Assembly to reduce pension payments four straight years starting in 2005, costing billions of dollars as the delay in contributions essentially borrowed from pension funds at a very high interest rate.",https://www.politifact.com/factchecks/2017/feb/17/bruce-rauner/rauner-right-about-lawmakers-four-straight-pension/,Bruce Rauner," December 31, "," February 16, 2017",TRUE
"""We have spent $350 million to deal with sea-level rise"" in the Miami area and ""hundreds of millions of dollars to deal with coral reefs.""",https://www.politifact.com/factchecks/2014/oct/29/rick-scott/florida-spending-350-million-deal-sea-level-rise/,Rick Scott," October 21, 2"," October 29, 2014",barely-true
"""We just had the best year for the auto industry in America in history.""",https://www.politifact.com/factchecks/2016/may/20/hillary-clinton/hillary-clinton-says-2015-was-best-year-us-auto-in/,Hillary Clinton," May 16, 2016 "," May 20, 2016",mostly-true
"""There is no good data showing secondhand smoke kills people.""",https://www.politifact.com/factchecks/2014/dec/11/john-stossel/fox-business-pundit-no-good-data-deaths-secondhand/,John Stossel," December 4, 2"," December 11, 2014",FALSE
"""There's been no conclusive or specific report to say"" Russia was trying to muddy the election.",https://www.politifact.com/factchecks/2016/dec/11/reince-priebus/priebus-falsely-claims-no-conclusive-report-whethe/,Reince Priebus," December 11, "," December 11, 2016",FALSE
"""This election marks the largest Senate gains for a president's party in a first midterm election since at least President Kennedy's in 1962.""",https://www.politifact.com/factchecks/2018/nov/08/donald-trump/donald-trump-right-history-behind-republicans-sena/,Donald Trump," November 7, 2"," November 8, 2018",half-true
"Old City in Philadelphia ""used to have more than a dozen clubs and that's what we were known for and now we’re down to two.""",https://www.politifact.com/factchecks/2016/may/25/job-itkzkowitz/has-old-city-land-1000-snookis-mellowed-out/,Job Itzkowitz," May 11, 2016 "," May 25, 2016",mostly-true
"Says Mike Bloomberg is “a candidate who in 2015 stated, and I quote: ‘I, for example, am not in favor, have never been in favor of raising the minimum wage.’”",https://www.politifact.com/factchecks/2020/feb/18/bernie-sanders/mike-bloomberg-now-supports-15-minimum-wage-he-did/,Bernie Sanders," February 15, "," February 18, 2020",mostly-true
"""There are some counties in Texas where the first day of hunting, you have to shut down the schools because people are going to go hunting.""",https://www.politifact.com/factchecks/2018/may/16/lupe-valdez/lupe-valdez-says-texas-schools-some-counties-shut-/,Lupe Valdez," May 8, 2018 i"," May 16, 2018",FALSE
"""Breaking: Sasha Obama just crashed her expensive new car into a lake.""",https://www.politifact.com/factchecks/2017/dec/28/defense-usasite/fake-news-sasha-obama-crashed-bugatti-lake/,defense-usa.site," December 21, "," December 28, 2017",pants-fire
"""Federal government reneging"" on Medicaid payments to Wisconsin caused about $240 million in extra costs in the 2013-’15 state budget.",https://www.politifact.com/factchecks/2014/feb/28/scott-walker/scott-walker-says-federal-government-reneged-medic/,Scott Walker," February 23, "," February 28, 2014",FALSE
"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”",https://www.politifact.com/factchecks/2020/jun/03/facebook-posts/claim-florida-undercounting-covid-19-deaths-uses-f/,Facebook posts," May 27, 2020 "," June 3, 2020",FALSE
"Says Sen. Thad Cochran ""voted to spend hundreds of millions of dollars on ... the Bridge to Nowhere in Alaska instead of shifting the money to repair a bridge damaged by Hurricane Katrina.""",https://www.politifact.com/factchecks/2014/mar/27/chris-chocola/did-mississippi-sen-thad-cochran-spurn-katrina-bri/,Chris Chocola," March 19, 201"," March 27, 2014",half-true
"Says Scott Walker supports ""a health care plan that would gut protections for pre-existing conditions.""",https://www.politifact.com/factchecks/2018/oct/18/tony-evers/scott-walker-says-he-would-cover-pre-existing-cond/,Tony Evers," October 10, 2"," October 18, 2018",mostly-true
"""When was the last time you saw a Chevrolet in Japan? It doesn’t exist, folks.""",https://www.politifact.com/factchecks/2015/jun/17/donald-trump/donald-trump-chevrolet-tokyo-japan-doesnt-exist/,Donald Trump," June 16, 2015"," June 17, 2015",barely-true
Said that man wearing racist shirt was working at a polling station in Mississippi.,https://www.politifact.com/factchecks/2018/nov/12/blog-posting/racist-t-shirt-wearer-mississippi-polling-station-/,Bloggers," November 7, 2"," November 12, 2018",FALSE
"""It's been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.""",https://www.politifact.com/factchecks/2016/feb/26/cory-gardner/cory-gardner-flubs-high-court-history-exam/,Cory Gardner," February 24, "," February 26, 2016",FALSE
"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.",https://www.politifact.com/factchecks/2018/jul/23/donald-trump/donald-trump-falsely-says-new-carter-page-document/,Donald Trump," July 23, 2018"," July 23, 2018",FALSE
"""CNN reports DemDebate had 2.3 million viewers. Trump rally had 6.7 million last night!""",https://www.politifact.com/factchecks/2020/jan/21/facebook-posts/facebook-post-makes-false-comparison-viewership-de/,Facebook posts," January 15, 2"," January 21, 2020",FALSE
"Says handing over arrested undocumented youth to ICE ""was an unintended consequence"" of a 2008 San Francisco policy that she supported.",https://www.politifact.com/factchecks/2019/feb/28/kamala-harris/kamala-harris-tries-rewrite-history-false-claim-sa/,Kamala Harris," February 24, "," February 28, 2019",FALSE
"""Forty-five states allow open carry of firearms.""",https://www.politifact.com/factchecks/2015/nov/18/marion-hammer/there-are-45-states-allow-open-carry-handguns-form/,Marion Hammer," November 1, 2"," November 18, 2015",mostly-true
"The Affordable Care Act ""basically puts a penalty or a tax on employers for every new job they create.""",https://www.politifact.com/factchecks/2015/jan/29/john-boehner/john-boehner-says-obamacare-puts-penalty-or-tax-em/,John Boehner," January 25, 2"," January 29, 2015",half-true
"""For the first time since the Korean War, total federal spending has gone down for two years in a row.""",https://www.politifact.com/factchecks/2013/oct/08/dennis-ross/rep-dennis-ross-says-us-spending-has-fallen-two-st/,Dennis Ross," October 7, 20"," October 8, 2013",TRUE
"Says the Republican tax plan ""helps families"" like one in which a woman lost her job and then lost her life savings fighting her husband’s cancer.",https://www.politifact.com/factchecks/2017/nov/13/american-action-network/how-would-gop-tax-bills-affect-families-strapped-b/,American Action Network," November 7, 2"," November 13, 2017",half-true
"The U.S. Department of Defense spends $80 million a year on prostate cancer research, $25 million a year on ovarian cancer research and $150 million a year on breast cancer research.",https://www.politifact.com/factchecks/2013/nov/19/saxby-chambliss/senator-questions-some-areas-defense-budget/,Saxby Chambliss," November 7, 2"," November 19, 2013",mostly-true
"Says Joe Biden leaked the names of SEAL Team 6’s families to al-Qaida and that he ""cannot be trusted.""",https://www.politifact.com/factchecks/2019/aug/12/facebook-posts/no-biden-did-not-leak-names-seal-team-6-members-al/,Facebook posts," August 1, 201"," August 12, 2019",FALSE
“More people have died from knowing Hillary” than coronavirus.,https://www.politifact.com/factchecks/2020/mar/11/gae-magnafici/Wisconsin-more-died-hillary-clinton-coronavirus/,Gae Magnafici," March 7, 2020"," March 11, 2020",pants-fire
"""The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations.""",https://www.politifact.com/factchecks/2016/mar/31/ted-cruz/ted-cruz-says-epa-tried-regulate-puddles-and-drain/,Ted Cruz," March 30, 201"," March 31, 2016",barely-true
"""North Korea is telling its people that their men’s national team is in the World Cup final.""",https://www.politifact.com/factchecks/2014/jul/17/blog-posting/blog-says-north-korea-told-its-people-their-team-m/,Bloggers," July 12, 2014"," July 17, 2014",pants-fire
On the Trans-Pacific Partnership.,https://www.politifact.com/factchecks/2016/aug/22/pat-toomey/pat-toomeys-shifting-stance-trans-pacific-partners/,Pat Toomey," August 17, 20"," August 22, 2016",full-flop
"""The average margin of victory in the House of Representatives was 37%"" for Democrats and Republicans in the 2016 election.",https://www.politifact.com/factchecks/2017/mar/17/arnold-schwarzenegger/true-nothing-inflated-schwarzneggers-claim-average/,Arnold Schwarzenegger," February 23, "," March 17, 2017",TRUE
"Texas ""had the highest level of turnout than ever before in the primary.""",https://www.politifact.com/factchecks/2016/mar/24/greg-abbott/greg-abbott-accurately-touts-record-raw-turnout-in/,Greg Abbott," March 14, 201"," March 24, 2016",half-true
"Says the White House nativity scene was removed by the Obamas and ""is back in the White House thanks to First Lady Melania Trump.""",https://www.politifact.com/factchecks/2018/dec/04/blog-posting/christmas-controversy-obamas-never-removed-white-h/,Bloggers," November 23, "," December 4, 2018",pants-fire
"""The Trump Administration is trying to take food assistance away from Wisconsin families when people are out of work and struggling.""",https://www.politifact.com/factchecks/2020/jun/01/tammy-baldwin/trump-administration-provides-food-aid-during-pand/,Tammy Baldwin," May 15, 2020 "," June 1, 2020",half-true
"“Cops in Norway: require 3 years of training, 4 people killed since 2002. Cops in Finland: require 2 years of training, 7 people killed since 2000. Cops in Iceland: require 2 years of training, 1 person killed since ever. Cops in the U.S.: require 21 weeks of training, 8,000+ people killed since 2001.”",https://www.politifact.com/factchecks/2020/jun/16/viral-image/post-comparing-us-police-training-and-fatal-shooti/,Viral image," June 8, 2020 "," June 16, 2020",half-true
"""The Obama-Biden Administration did not conduct workplace raids—in fact, it ended them.""",https://www.politifact.com/factchecks/2019/sep/18/joe-biden/biden-says-obama-ended-workplace-raids-immigrants/,Joe Biden," September 12,"," September 18, 2019",half-true
"""You look at today, only half the 30-year-olds are doing better than their parents were at age 30. When I was being raised, it was 90%.""",https://www.politifact.com/factchecks/2019/may/21/steve-bullock/fact-checking-steve-bullock-decline-american-dream/,Steve Bullock," May 19, 2019 "," May 21, 2019",mostly-true
"""For every extra year that a girl stays in secondary school, her chance of getting infected with HIV/AIDS decreases by half.""",https://www.politifact.com/factchecks/2016/jun/24/tim-kaine/more-schooling-reduces-hiv-risk-how-much/,Tim Kaine," June 15, 2016"," June 24, 2016",mostly-true
"Says the large trade deficit with Japan stems from them sending ""millions of cars,"" while ""we send them wheat,"" but the deficit is ""changing rapidly.""",https://www.politifact.com/factchecks/2019/aug/15/donald-trump/cars-vs-wheat-donald-trump-muddles-us-japan-trade-/,Donald Trump," August 13, 20"," August 15, 2019",barely-true
"""Al-Qaida has grown fourfold in five years.""",https://www.politifact.com/factchecks/2015/feb/01/jack-keane/retired-general-says-al-qaida-has-grown-fourfold-l/,Jack Keane," February 1, 2"," February 1, 2015",half-true
"On red-flag laws says, ""What (Democrats) wanted to do was say, ‘I think you might do something, so I’m going to take away your gun and make you prove you wouldn’t do it.""",https://www.politifact.com/factchecks/2019/dec/06/robin-vos/wisconsin-assembly-speakers-new-take-red-flag-gun-/,Robin Vos," November 10, "," December 6, 2019",barely-true
"""Washington State Legislature votes to change its name because George Washington owned Slaves.""",https://www.politifact.com/factchecks/2017/sep/27/blog-posting/no-washington-state-did-not-change-its-name-becaus/,Bloggers," September 24,"," September 27, 2017",pants-fire
"Tim Kaine: ""opposes everything President Trump does.""",https://www.politifact.com/factchecks/2018/sep/26/corey-stewart/stewart-close-describing-kaines-opposition-trump/,Corey Stewart," July 21, 2018"," September 26, 2018",mostly-true
"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",https://www.politifact.com/factchecks/2017/may/16/james-risch/does-president-have-ability-declassify-anything-an/,James Risch," May 15, 2017 "," May 16, 2017",mostly-true
"Under his tax plan, ""the greatest gains, percentage-wise,"" will be ""at the lower end of our plan.""",https://www.politifact.com/factchecks/2015/nov/04/marco-rubio/marco-rubio-says-biggest-percentage-gains-his-tax-/,Marco Rubio," October 28, 2"," November 4, 2015",half-true
"""Even the (Congressional Budget Office) says if you lower Medicare to allow 50 year olds to get into it, you can not only save the government money, but you can lower premiums for all Americans.""",https://www.politifact.com/factchecks/2019/feb/08/cory-booker/medicare-booker-cites-non-existent-cbo-study/,Cory Booker," February 4, 2"," February 8, 2019",FALSE
"""Donald Trump performed better than any presidential nominee since Gerald Ford.""",https://www.politifact.com/factchecks/2017/jan/06/nicholas-langworthy/trump-performed-best-erie-county-reagan/,Nicholas Langworthy," December 14, "," January 6, 2017",FALSE
"As for recreational marijuana revenue projections, ""we are seeing all those numbers reach disappointing levels in the states that have legalized. They’re not meeting their targets for the most part.""",https://www.politifact.com/factchecks/2019/jan/21/patricia-fahy/fahy-claims-marijuana-revenue-disappointing/,Patricia Fahy," January 14, 2"," January 21, 2019",barely-true
“George Floyd’s ‘murder’ filmed before COVID-19.”,https://www.politifact.com/factchecks/2020/jun/16/viral-image/floyds-death-wasnt-filmed-pandemic/,Viral image," June 14, 2020"," June 16, 2020",pants-fire
"""New York is the safest big city in the nation, and our crime reductions have been steeper than any other big city’s.""",https://www.politifact.com/factchecks/2013/aug/26/michael-bloomberg/michael-bloomberg-says-new-york-safest-big-city-us/,Michael Bloomberg," August 18, 20"," August 26, 2013",mostly-true
"""A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.""",https://www.politifact.com/factchecks/2016/feb/01/thomas-garrett-jr/tom-garrett-amiss-virginia-state-trooper-pay/,Thomas Garrett Jr.," January 11, 2"," February 1, 2016",FALSE
"""In a very real sense, (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously.""",https://www.politifact.com/factchecks/2020/jun/16/mike-pence/has-oklahoma-flattened-curve-mike-pence-said/,Mike Pence," June 15, 2020"," June 16, 2020",FALSE
"Say a ""left wing extremist, chases down, rams car over Trump bumper sticker.""",https://www.politifact.com/factchecks/2018/aug/03/blog-posting/was-massachusetts-man-targeted-hit-and-run-because/,Bloggers," August 1, 201"," August 3, 2018",mostly-true
"When Carly Fiorina says Hewlett-Packard ""revenues went up, that's because she bought Compaq. It was a terrible deal.""",https://www.politifact.com/factchecks/2015/sep/21/donald-trump/fact-checking-donald-trumps-attack-carly-fiorinas-/,Donald Trump," September 16,"," September 21, 2015",mostly-true
"""In states that have legalized (recreational marijuana), you see steady decreases in youth use if you do it right.""",https://www.politifact.com/factchecks/2019/may/12/kelly-cassidy/cassidy-puffs-what-stats-say-about-teen-marijuana-/,Kelly Cassidy," May 4, 2019 i"," May 12, 2019",barely-true
